,index
31,"1:32  I desire not victory, O Krishna, nor kingdom, nor pleasures. Of what avail is dominion to us, O Krishna, or pleasures or even life?"
32,"1:33  Those for whose sake we desire kingdom, enjoyments and pleasures, stand here in battle, having renounced life and wealth."
33,"1:34  Teachers, fathers, sons and also grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and other relatives."
34,"1:35  O Madhusudana, even if I am killed, I do not want to kill these even for the sake of a kingdom extending over the three worlds; what to speak of doing so for the earth!"
35,"1:36  O Janardana, what happiness shall we derive by killing the sons of Dhrtarastra? Sin alone will accrue to us by killing these felons."
36,"1:37  Therefore, it is not proper for us to kill the sons of Dhrtarastra who are our own relatives. For, O Madhava, how can we be happy by killing our kinsmen?"
37,"1:38  O Janardana, although these people, whose hearts have become perverted by greed, do not see the evil arising from destroying the family and sin in hostility towards, friends,"
38,1:39  yet how can we who clearly see the evil arising from destroying the family remain unaware of (the need of) abstaining from this sin?
39,"1:40  From the ruin of the family are totally destroyed the traditional rites and duties of the family. When rites and duties are destroyed, vice overpowers the entire family also."
40,"1:41  O Krsna, when vice predominates, the women of the family become corrupt. O descendent of the Vrsnis, when women become corrupted, it results in the intermingling of castes."
41,1:42  And the intermingling in the family leads the ruiners of the family verily into hell. The forefathers of these fall down (into hell) because of being deprived of the offerings of rice-balls and water.
42,"1:43  Due to these misdeeds of the ruiners of the family, which cause intermingling of castes, the traditional rites and duties of the castes and families become destroyed."
43,"1:44  O Janardana, we have heard that living in hell becomes inevitable for those persons whose family duties get destroyed."
44,"1:45  What a pity that we have resolved to commit a great sin by being eager to kill our own kith and kin, out of greed for the pleasures of a kingdom!"
45,"1:46  If, in this battle, the sons of Dhrtarastra armed with weapons kill me who am non-resistant and unarmed, that will be more beneficial to me."
46,"1:47  Sanjaya narrated: Having said so, Arjuna, with a mind afflicted with sorrow, sat down on the chariot in the midst of the battle, casting aside the bow along with the arrows."
47,"2:1  Sanjaya said: To him who had been thus filled with pity, whose eyes were filled with tears and showed distress, and who was sorrowing, Madhusudana uttered these words:"
48,"2:2  The Blessed Lord said: O Arjuna, how has this infatuation overtaken you at this odd hour? It is shunned by noble souls; neither will it bring heaven, nor fame to you."
49,"2:3  O Partha, yield not to unmanliness. This does not befit you. O scorcher of foes, arise, giving up the petty weakness of the heart."
50,"2:4  Arjuna said: O Madhusudana, O destroyer of enemies, how can I fight with arrows in battle against Bhisma and Drona who are worthy of adoration?"
51,"2:5  Rather than killing the noble-minded elders, it is better in this world to live even on alms. But, by killing the elders we shall only be enjoying here the pleasures of wealth and desirable things drenched in blood."
52,"2:6  We do not know this as well as to which is the better for us, (and) whether we shall win, or whether they shall conquer us. Those very sons of Dhrtarastra, by killing whom we do not wish to live, stand in confrontation."
53,"2:7  With my nature overpowered by weak compassion, with a mind bewildered about duty, I pray to You. Tell me for certain that which is better; I am Your disciple. Instruct me who have taken refuge in You."
54,"2:8  Because, I do not see that which can, even after acquiring on this earth a prosperous kingdom free from enemies and even sovereignty over the gods, remove my sorrow (which is) blasting the senses."
55,"2:9  Sanjaya said: Having spoken thus to Hrsikesa (Krsna), Gudakesa (Arjuna), the afflicter of foes, verily became silent, telling Govinda, 'I shall not fight.'"
56,"2:10  O descendant of Bharata, to him who was sorrowing between the two armies, Hrsikesa, mocking as it were, said these words:"
57,2:11  The Blessed Lord said: You grieve for those who are not to be grieved for; and you speak words of wisdom! The learned do not grieve for the departed and those who have not departed.
58,"2:12  But certainly (it is) not (a fact) that I did not exist at any time; nor you, nor these rulers of men. And surely it is not that we all shall cease to exist after this."
59,"2:13  As are boyhood, youth and decay to an embodied being in this (present) body, similar is the acquisition of another body. This being so, an intelligent person does not get deluded."
60,"2:14  But the contacts of the organs with the objects are the producers of cold and heat, happiness and sorrow. They have a beginning and an end, (and) are transient. Bear them, O descendant of Bharata."
61,"2:15  O (Arjuna, who are) foremost among men, verily, the person whom these do not torment, the wise man to whom sorrow and happiness are the same he is fit for Immortality."
62,"2:16  Of the unreal there is no being; the real has no nonexistence. But the nature of both these, indeed, has been realized by the seers of Truth."
63,2:17  But know That to be indestructible by which all this is pervaded. None can bring about the destruction of this Immutable.
64,"2:18  These destructible bodies are said to belong to the everlasting, indestructible, indeterminable, embodied One. Therefore, O descendant of Bharata, join the battle."
65,"2:19  He who thinks of this One as the killer, and he who thinks of this One as the killed both of them do not know. This One does not kill, nor is It killed."
66,"2:20  Never is this One born, and never does It die; nor is it that having come to exist, It will again cease to be. This One is birthless, eternal, undecaying, ancient; It is not killed when the body is killed."
67,"2:21  O Partha, he who knows this One as indestructible, eternal, birthless and undecaying, how and whom does that person kill, or whom does he cause to be killed!"
68,"2:22  As after rejecting worn-out clothes a man takes up other new ones, likewise after rejecting worn-out bodies the embodied one unites with other new ones."
69,"2:23  Weapons do not cut It, fire does not burn It, water does not moisten It, and air does not dry It."
70,"2:24  It cannot be cut, It cannot be burnt, cannot be moistened, and surely cannot be dried up. It is eternal, omnipresent, stationary, unmoving and changeless."
71,"2:25  It is said that This is unmanifest; This is inconceivable; This is unchangeable. Therefore, having known This thus, you ought not to grieve."
72,"2:26  On the other hand, if you think this One is born continually or dies constantly, even then, O mighty-armed one, you ought not to grieve thus."
73,"2:27  For death of anyone born is certain, and of the dead (re-) birth is a certainly. Therefore, you ought not to grieve over an inevitable fact."
74,"2:28  O descendant of Bharata, all beings remain unmanifest in the beginning; they become manifest in the middle. After death, they certainly become unmanifest. What lamentation can there be with regard to them?"
75,"2:29  Someone visualizes It as a wonder; and similarly indeed, someone else talks of It as a wonder; and someone else hears of It as a wonder. And someone else, indeed, does not realize It even after hearing about It."
76,"2:30  O descendant of Bharata, this embodied Self existing in everyone's body can never be killed. Therefore, you ought not to grieve for all (these) beings."
77,"2:31  Even considering your own duty you should not waver, since there is nothing else better for a Ksatriya than a righteous battle."
78,"2:32  O son of Partha, happy are the Ksatriyas who come across this kind of a battle, which presents itself unsought for and which is an open gate to heaven."
79,"2:33  On the other hand, if you will not fight this righteous battle, then, forsaking your own duty and fame, you will incur sin."
80,2:34  People also will speak of your unending infamy. And to an honoured person infamy is worse than death.
81,2:35  The great chariot-riders will think of you as having desisted from the fight out of fear; and you will into disgrace before them to whom you had been estimable.
82,2:36  And your enemies will speak many indecent words while denigrating your might. What can be more painful than that?
83,"2:37  Either by being killed you will attain heaven, or by winning you will enjoy the earth. Therefore, O Arjuna, rise up with determination for fighting."
84,"2:38  Treating happiness and sorrow, gain and loss, and victory and defeat with equality, engage in battle. Thus, you will not incur sin."
85,"2:39  O Partha, this wisdom has been imparted to you from the standpoint of Self-realization. But listen to this (wisdom) from the standpoint of Yoga, endowed with which wisdom you will get rid of the bondage of action."
86,2:40  Here there is no waste of an attempt; nor is there (any) harm. Even a little of this righteousness saves (one) from great fear.
87,"2:41  O scion of the Kuru dynasty, in this there is a single, one-pointed conviction. The thoughts of the irresolute ones have many branches indeed, and are innumerable."
88,"2:42  O son of Prtha, those undiscerning people who utter this flowery talk which promises birth as a result of rites and duties, and is full of various special rites meant for the attainment of enjoyment and affluence, remain engrossed in the utterances of the Vedas and declare that nothing else exists; their minds are full of desires and they have heaven as the goal."
89,"2:43  O son of Prtha, those undiscerning people who utter this flowery talk which promises birth as a result of rites and duties, and is full of various special rites meant for the attainment of enjoyment and affluence, remain engrossed in the utterances of the Vedas and declare that nothing else exists; their minds are full of desires and they have heaven as the goal."
90,"2:44  One-pointed conviction does not become established in the minds of those who delight in enjoyment and affluence, and whose intellects are carried away by that (speech)."
91,"2:45  O Arjuna, the Vedas [Meaning only the portion dealing with rites and duties (karma-kanda)] have the three Gunas(modes of Prakriti) as their object. You become free from worldliness, free from the pairs of duality, established in the Eternal Existence(God), without (desire for) acquisition and protection, and self-collected."
92,2:46  A Brahmana with realization has that much utility in all the Vedas as a man has in a well when there is a flood all around.
93,"2:47  Your right is for action alone, never for the results. Do not become the agent of the results of action. May you not have any inclination for inaction."
94,"2:48  By being established in Yoga, O Dhananjaya (Arjuna), undertake actions, casting off attachment and remaining equipoised in success and failure. Evenness of mind is called Yoga."
95,"2:49  O Dhananjaya, indeed, action with a self-motive is far inferior to the yoga of wisdom. Take resort to wisdom. Those who thirst for rewards are pitiable."
96,"2:50  Possessed of wisdom, one rejects here both virtue and vice. Therefore, devote yourself to (Karma-) yoga. Yoga is skilfulness in action."
97,"2:51  Because, those who are devoted to wisdom, (they) becoming men of Enlightenment by giving up the fruits produced by actions, reach the state beyond evils by having become freed from the bondage of birth."
98,"2:52  When your mind will go beyond the turbidity of delusion, then you will acquire dispassion for what has to be heard and what has been heard."
99,"2:53  When your mind that has become bewildered by hearing will become unshakable and steadfast in the Self, then you will attain Yoga that arises from discrimination."
100,"2:54  Arjuna said: O Kesava, what is the description of a man of steady wisdom who is Self-absorbed? How does the man of steady wisdom speak? How does he sit? How does he move about?"
101,"2:55  The Blessed said: O Partha, when one fully renounces all the desires that have entered the mind, and remains satisfied in the Self alone by the Self, then he is called a man of steady wisdom."
102,"2:56  That monk is called a man of steady wisdom when his mind is unperturbed in sorrow, he is free from longing for delights, and has gone beyond attachment, fear and anger."
103,"2:57  The wisdom of that person remains established who has not attachment for anything anywhere, who neither welcomes nor rejects anything whatever good or bad when he comes across it."
104,"2:58  And when this one fully withdraws the senses from the objects of the senses, as a tortoise wholly (withdraws) the limbs, then his wisdom remains established."
105,"2:59  The objects recede from an abstinent man, with the exception of the taste (for them). Even the taste of this person falls away after realization of the Absolute."
106,"2:60  For, O son of Kunti, the turbulent organs violently snatch away the mind of an intelligent person, even while he is striving diligently."
107,"2:61  Controlling all of them, one should remain concentrated on Me as the supreme. For, the wisdom of one whose organs are under control becomes steadfast."
108,"2:62  In the case of a person who dwells on objects, there arises attachment for them. From attachment grows hankering, from hankering springs anger."
109,"2:63  From anger follows delusion; from delusion, failure of memory; from failure of memory, the loss of understanding; from the loss of understanding, he perishes."
110,"2:64  But by perceiving objects with the organs that are free from attraction and repulsion, and are under his own control, the self-controlled man attains serenity."
111,"2:65  When there is serenity, there follows eradication of all his sorrows, because the wisdom of one who has a serene mind soon becomes firmly established."
112,"2:66  For the unsteady there is no wisdom, and there is no meditation for the unsteady man. And for an unmeditative man there is no peace. How can there be happiness for one without peace?"
113,"2:67  For, the mind which follows in the wake of the wandering senses, that (mind) carries away his wisdom like the mind (diverting) a boat on the waters."
114,"2:68  Therefore, O mighty-armed one, his wisdom becomes established whose organs in all their varieties are withdrawn from their objects."
115,"2:69  The self-restrained man keeps awake during that which is night for all creatures. That during which creatures keep awake, it is night to the seeing sage."
116,2:70  That man attains peace into whom all desires enter in the same way as the waters flow into a sea that remains unchanged (even) when being filled up from all sides. Not so one who is desirous of objects.
117,"2:71  That man attains peace who, after rejecting all desires, moves about free from hankering, without the idea of ('me' and) 'mine', and devoid of pride."
118,"2:72  O Partha, this is the state of being established in Brahman. One does not become deluded after attaining this. One attains identification with Brahman by being established in this state even in the closing years of one's life."
119,"3:1  Arjuna said: O Janardana (Krsna), if it be Your opinion that wisdom is superior to action, why then, do you urge me to do horrible action, O Kesava?"
120,"3:2  You bewilder my understanding, as it were, by a seemingly conflicting statement! Tell me for certain one of these by which I may attain the highest Good."
121,"3:3  The Blessed Lord said: O unblemished one, two kinds of steadfastness in this world were spoken of by Me in the days of yore-through the Yoga of Knowledge for the men of realization; through the Yoga of Action for the yogis."
122,3:4  A person does not attain freedom from action by abstaining from action; nor does he attain fulfilment merely through renunciation.
123,"3:5  Because, no one ever remains even for a moment without doing work. For all are made to work under compulsion by the gunas born of Nature."
124,"3:6  One, who after withdrawing the organs of action, sits mentally recollecting the objects of the senses, that one, of deluded mind, is called a hypocrite."
125,"3:7  But, O Arjuna, one who engages in Karma-yoga with the organs of action, controlling the organs with the mind and becoming unattached-that one excels."
126,"3:8  You perform the obligatory duties, for action is superior to inaction. And, through inaction, even the maintenance of your body will not be possible."
127,"3:9  This man becomes bound by actions other than that action meant for God. Without being attached, O son of Kunti, you perform actions for Him."
128,"3:10  In the days of yore, having created the beings together with the sacrifices, Prajapati said: 'By this you multiply. Let this be your yielder of coveted objects of desire.'"
129,"3:11  'You nourish the gods with this. Let those gods nourish you. Nourishing one another, you shall attain the supreme Good.'"
130,"3:12  'Being nourished by sacrifices, the gods will indeed give you the coveted enjoyments. He is certainly a thief who enjoys what have been given by them without offering (these) to them.'"
131,"3:13  By becoming partakers of the remembers of sacrifices, they become freed from all sins. But the unholy persons who cook for themselves, they incur sin."
132,3:14  From food are born the creatures; the origin of food is from rainfall; rainfall originates from sacrifice; sacrifice has action as its origin.
133,"3:15  Know that actin has the Veda as its origin; the Vedas has the Immutable as its source. Hence, the all-pervading Veda is for ever based on sacrifice."
134,"3:16  O Partha, he lives in vain who does not follow here the wheel thus set in motion, whose life is sinful, and who indulges in the senses."
135,"3:17  But that man who rejoices only in the Self and is satisfied with the Self, and is contented only in the Self-for him there is no duty to perform."
136,"3:18  For him there is no concern here at all with performing action; nor any (concern) with non-performance. Moreover, for him there is no dependence on any object to serve any purpose."
137,"3:19  Therefore, remaining unattached, always perform the obligatory duty, for, by performing (one's) duty without attachment, a person attains the Highest."
138,3:20  For Janaka and others strove to attain Liberation through action itself. You ought to perform (your duties) keeping also in view the prevention of mankind from going astray.
139,"3:21  Whatever a superior person does, another person does that very thing! Whatever he upholds as authority, an ordinary person follows that."
140,"3:22  In all the three worlds, O Partha, there is no duty whatsoever for Me (to fulfil); nothing remains unachieved or to be achieved. (Still) I continue in action."
141,"3:23  For, O Partha, if at any time I do not continue vigilantly in action, men will follow My path in every way."
142,"3:24  These worlds will be ruined if I do not perform action. And I shall become the agent of intermingling (of castes), and shall be destroying these beings."
143,"3:25  O scion of the Bharata dynasty, as the unenlightened people act with attachment to work, so should the enlightened person act, without attachment, being desirous of the prevention of people from going astray."
144,"3:26  The enlightened man should not create disturbance in the beliefs of the ignorant, who are attached to work. Working, while himself remaining diligent, he should make them do all the duties."
145,"3:27  While actions are being done in every way by the gunas (qualities) of Nature, one who is deluded by egoism thinks thus: 'I am the doer.'"
146,"3:28  But, O mighty-armed one, the one who is a knower of the facts about the varieties of the gunas and actions does not become attached, thinking thus: 'The organs rest (act) on the objects of the organs.'"
147,"3:29  Those who are wholly deluded by the gunas of Nature become attached to the activities of the gunas. The knower of the All should not disturb those of dull intellect, who do not know the All."
148,"3:30  Devoid of the fever of the soul, engage in battle by dedicating all actions to Me, with (your) mind intent on the Self, and becoming free from expectations and egoism."
149,"3:31  Those men who ever follow this teaching of Mine with faith and without cavil, they also become freed from actions."
150,"3:32  But those who, decaying [Finding fault where there is none.] this, do not follow My teaching, know them-who are deluded about all knowledge [Knowledge concerning the qualified and the un-qualified Brahman.] and who are devoid of discrimination-to have gone to ruin."
151,3:33  Even a man of wisdom behaves according to his own nature. Beings follow (their) nature. What can restraint do?
152,"3:34  Attraction and repulsion are ordained with regard to the objects of all the organs. One should not come under the sway of these two, because they are his adversaries."
153,"3:35  One's own duty [Customary or scripturally ordained observances of different castes and sects.], though defective, is superior to another's duty well-performed. Death is better while engaged in one's own duty; another's duty is fraught with fear."
154,"3:36  Arjuna said: Now then, O scion of the Vrsni dynasty (Krsna), impelled by what does this man commit sin even against his wish, being constrained by force, as it were?"
155,"3:37  The Blessed Lord said: This desire, this anger, born of the guna of rajas, is a great devourer, a great sinner. Know this to be the enemy here."
156,"3:38  As fire is enveloped by smoke, as a mirror by dirt, and as a foetus remains enclosed in the womb, so in this shrouded by that."
157,"3:39  O son of Kunti, Knowledge is covered by this constant enemy of the wise in the form of desire, which is an insatiable fire."
158,"3:40  The organs, mind, and the intellect are said to be its abode. This one diversely deludes the embodied being by veiling Knowledge with the help of these."
159,"3:41  Therefore, O scion of the Bharata dynasty, after first controlling the organs, renounce this one which is sinful and a destroyer of learning and wisdom."
160,"3:42  They say that the organs are superior (to the gross body); the mind is superior to the organs; but the intellect is superior to the mind. However, the one who is superior to the intellect is He."
161,"3:43  Understanding the Self thus [Understanding thus: that desires can be conquered through the knowledge of the Self.] as superior to the intellect, and completely establishing (the Self) is spiritual absorption with the (help of) the mind, O mighty-armed one, vanish the enemy in the form of desire, which is difficult to subdue."
162,"4:1  The Blessed Lord said: I imparted this imperishable Yoga to Vivasvan(Sun-God), Vivasvan taught this to Manu, and Manu transmitted this to Iksavaku."
163,"4:2  The king-sages knew this (yoga) which was received thus in regular succession. That Yoga, O destroyer of foes, in now lost owing to a long lapse of time."
164,"4:3  That ancient Yoga itself, which is this, has been taught to you by Me today, considering that you are My devotee and friend, For, this (Yoga) is a profound secret."
165,"4:4  Arjuna said: Your birth was later, (whereas) the birth of Vivasvan(Sun-God) was earlier. How am I to understand this that You instructed (him) in the beginning?"
166,"4:5  The Blessed Lord said: O Arjuna, many lives of Mine have passed, and so have yours. I know them all, (but) you know not, O scorcher of enemies!"
167,"4:6  Though I am birthless, undecaying by nature, and the Lord of beings, (still) by subjugating My Prakriti, I take birth by means of My own Maya."
168,"4:7  O scion of the Bharata dynasty, whenever righteousness is on the decline, unrighteousness is in the ascendant, then I body Myself forth."
169,"4:8  For the protection of the pious, the destruction of the evil-doers, and establishing virtue, I manifest Myself in every age."
170,"4:9  He who thus knows truly the divine birth and actions of Mine does not get re-birth after casting off the body. He attains Me, O Arjuna."
171,"4:10  Many who were devoid of attachment, fear and anger, who were absorbed in Me, who had taken refuge in Me, and were purified by the austerity of Knowledge, have attained My state."
172,"4:11  According to the manner in which they approach Me, I favour them in that very manner. O son of Partha, human beings follow My path in every way."
173,"4:12  Longing for the fruition of actions (of their rites and duties), they worship the gods here. For, in the human world, success from action comes quickly."
174,"4:13  The four castes have been created by Me through a classification of the gunas and duties. Even though I am the agent of that (act of classification), still know Me to be a non-agent and changeless."
175,"4:14  Actions do not taint Me; for Me there is no hankering for the results of actions. One who knows Me thus, does not become bound by actions."
176,"4:15  Having known thus, duties were performed even by the ancient seekers of Liberation. Therefore, you undertake action itself as was performed earlier by the ancient ones."
177,4:16  Even the intelligent are confounded as to what is action and what is inaction. I shall tell you of that action by knowing which you will become free from evil.
178,"4:17  For there is something to be known even about action, and something to be known about prohibited action; and something has to be known about inaction. The true nature of action is inscrutable."
179,"4:18  He who finds inaction in action, and action in inaction, he is the wise one [Possessed of the knowledge of Brahman] among men; he is engaged in yoga and is a performer of all actions!"
180,"4:19  The wise call him learned whose actions are all devoid of desires and their thoughts, and whose actions have been burnt away by the fire of wisdom."
181,"4:20  Having given up attachment to the results of action, he who is ever-contented, dependent on nothing, he really does not do anything even though engaged in action."
182,"4:21  One who is without solicitation, who has the mind and organs under control, (and) is totally without possessions, he incurs no sin by performing actions merely for the (maintenance of the) body."
183,"4:22  Remaining satisfied with what comes unasked for, having transcended the dualities, being free from spite, and equipoised under success and failure, he is not bound even by performing actions."
184,"4:23  Of the liberated person who has got rid of attachment, whose mind is fixed in Knowledge, actions undertaken for a sacrifice get totally destroyed."
185,"4:24  The ladle is Brahman, the oblations is Brahman, the offering is poured by Brahman in the fire of Brahman. Brahman alone is to be reached by him who has concentration on Brahman as the objective [As an object to be known and attained. (Some translate brahma-karma-samadhina as, 'by him who sees Brahman in action'.)"
186,"4:25  Other yogis undertake sacrifice to gods alone, Others offer the Self, as a sacrifice by the Self itself, in the fire of Brahman."
187,"4:26  Others offer the organs, viz ear etc., in the fires of self-control. Others offer the objects, viz sound etc., in the fires of the organs."
188,4:27  Others offer all the activities of the organs and the activities of the vital force into the fire of the yoga of self-control which has been lighted by Knowledge.
189,"4:28  Similarly, others are performers of sacrifices through wealth, through austerity, through yoga, and through study and knowledge; others are ascetics with severe vows."
190,"4:29  Constantly practising control of the vital forces by stopping the movements of the outgoing and the incoming breaths, some offer as a sacrifice the outgoing breath in the incoming breath; while still others, the incoming breath in the outgoing breath. Others, having their food regulated, offer the vital forces in the vital forces. All of them are knowers of the sacrifice and have their sins destroyed by sacrifice."
191,"4:30  Constantly practising control of the vital forces by stopping the movements of the outgoing and the incoming breaths, some offer as a sacrifice the outgoing breath in the incoming breath; while still others, the incoming breath in the outgoing breath. Others, having their food regulated, offer the vital forces in the vital forces. All of them are knowers of the sacrifice and have their sins destroyed by sacrifice."
192,"4:31  Those who partake of the nectar left over after a sacrifice, reach the eternal Brahman. This world ceases to exist for one who does not perform sacrifices. What to speak of the other (world), O best among the Kurus (Arjuna)!"
193,"4:32  Thus, various kinds of sacrifices lie spread at the mouth of the Vedas. Know them all to be born of action. Knowing thus, you will become liberated."
194,"4:33  O destroyer of enemies, Knowledge considered as a sacrifice is greater than sacrifices requiring materials. O son of Prtha, all actions in their totality culminate in Knowledge."
195,"4:34  Know that through prostration, inquiry and service. The wise ones who have realized the Truth will impart the Knowledge to you."
196,"4:35  Knowing which, O Pandava (Arjuna), you will not come under delusion again in this way, and through which you will see all beings without exception in the Self and also in Me."
197,"4:36  Even if you be the worst sinner among all sinners, still you will cross over all the wickedness with the raft of Knowledge alone."
198,"4:37  O Arjuna, as a blazing fire reduces pieces of wood to ashes, similarly the fire of Knowledge reduces all actions to ashes."
199,"4:38  Indeed, there is nothing purifying here comparable to Knowledge. One who has become perfected after a (long) time through yoga, realizes That by himself in his own heart."
200,"4:39  The man who has faith, is diligent and has control over the organs, attains Knowledge. Achieving Knowledge, one soon attains supreme Peace."
201,"4:40  One who is ignorant and faithless, and has a doubting mind perishes. Neither this world nor the next nor happiness exists for one who has a doubting mind."
202,"4:41  O Dhananjaya (Arjuna), actions do not bind one who has renounced actions through yoga, whose doubt has been fully dispelled by Knowledge, and who is not inadvertent."
203,"4:42  Therefore, O scion of the Bharata dyasty, take recourse to yoga and rise up, cutting asunder with the sword of Knowledge this doubt of your own in the heart, arising from ignorance."
204,"5:1  Arjuna said: O Krsna, You praise renunciation of actions, and again, (Karma-) yoga. Tell me for certain that one which is better between these two."
205,"5:2  The Blessed Lord said: Both renunciation of actions and Karma-yoga lead to Liberation. Between the two, Karma-yoga, however, excels over renunciation of actions."
206,5:3  He who does not hate and does not crave should be known as a man of constant renunciation.
207,"5:4  The fools, not the learned ones, speak of Sankhya (the path of Knowledge) and (Karma-) yoga as different. Anyone who properly resorts to even one (of them) gets the result of both."
208,"5:5  The State [Sthana (State) is used in the derivative sense of 'the place in which one remains established, and from which one does not become relegated'.] that is reached by the Sankhyas, that is reached by the yogis as well. He sees who sees Sankhya and yoga as one."
209,"5:6  But, O mighty-armed one, renunciation is hard to attain without (Karma-) yoga. The meditative man equipped with yoga attains Brahman without delay."
210,"5:7  Endowed with yoga, [i.e. devoted to the performance of the nitya and naimittika duties.] pure in mind, controlled in body, a conqueror of the organs, the Self of the selves of all beings-he does not become tainted even while performing actions. [The construction of the sentence is this: When this person resorts to nitya and naimittika rites and duties as a means to the achievement of fully Illumination, and thus becomes fully enlightened, then, even when he acts through the apparent functions of the mind, organs, etc., he does not become affected.]"
211,"5:8  Remaining absorbed in the Self, the knower of Reality should think, 'I certainly do not do anything', even while seeing, hearing, touching, smelling, eating, moving, sleeping, breathing, speaking, releasing, holding, opening and closing the eyes-remembering that the organs function in relation to the objects of the organs."
212,"5:9  Remaining absorbed in the Self, the knower of Reality should think, 'I certainly do not do anything', even while seeing, hearing, touching, smelling, eating, moving, sleeping, breathing, speaking, releasing, holding, opening and closing the eyes-remembering that the organs function in relation to the objects of the organs."
213,"5:10  One who acts by dedicating actions to Brahman and by renouncing attachment, he does not become polluted by sin, just as a lotus leaf is not by water."
214,"5:11  By giving up attachment, the yogis undertake work merely through the body, mind, intellect and even the organs, for the purification of themselves."
215,"5:12  Giving up the result of work by becoming resolute in faith, one attains Peace arising from steadfastness. One who is lacking in resolute faith, being attached to the result under the impulsion of desire, becomes bound."
